geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
129,Sunset Village Neighborhood Association,No,265.8,931,79.2,1842,6.1,17.7,13,87.4,2,4.4,2.7,3.5,899,470,20.3,3.4,940,4,0,1948,3,24,238374,155.12,1,23,6,27,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.5,3211,N/A,6.2
136,Regent Neighborhood Association,No,373.2,2890,40.2,6344,3.4,12.4,6.2,85.2,1.2,8.6,2.4,2.6,2831,997,15.4,2,2961,1,0,1931,4,73,389164,190.68,31,151,113,59,suppressed,suppressed,suppressed,suppressed,suppressed,52533,65,3.8,"H,P,B,G,C",100,4240,85.6,6.9
163,Skyview Meadows Neighborhood Association,No,80,229,78.5,532,7.8,20.8,4.7,81.4,5.3,6.2,2.2,4.9,220,150,30.1,3.4,267,1,0,1987,3,4,196815,101.93,0,11,5,5,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,99.3,203,N/A,7.2
352,Woodland Hills Neighborhood Association,No,94.5,363,71.1,682,4.8,14.8,11.9,81.8,2.1,7.4,2.6,6.1,351,172,19.2,5.6,369,1,0,1985,1,3,273657,111.84,0,10,7,3,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,92.6,352,N/A,6.9
118,Wexford Village Homeowners Association,No,407.6,1231,60.7,2506,4.8,19.7,15.6,84.3,1.6,8.1,2.7,3.3,1164,658,22.5,1.8,1150,181,0,1992,6,8,282630,113.25,2,24,11,11,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",75.5,352,N/A,6.9
121,Elvehjem Neighborhood Association,No,700,1720,79.4,4165,6.3,21.9,15.2,81.8,6.1,2.5,3.6,6.1,1639,1171,27.3,5.6,1726,29,0,1968,16,49,176877,101.62,27,113,101,41,suppressed,suppressed,suppressed,suppressed,suppressed,78274,36,3,"P,B,G,C",93.9,331,98.6,6.7
109,Sprecher East Neighborhood Association,No,699.4,969,68.2,2207,8.8,23.6,6,86.2,4.4,3.1,2.9,3.4,931,587,31.1,5.7,1194,2,0,2003,6,2,230310,117.68,8,35,14,11,suppressed,suppressed,suppressed,suppressed,suppressed,65700,0,3.4,"B,C",55.6,75,95.9,8
115,Tenney-Lapham Neighborhood Association,No,306,2231,29.5,4149,2.9,9.5,3.4,87.1,4.3,2,2.6,4.1,2113,541,9.8,2.5,2318,155,0,1914,4,208,281641,163.45,35,176,194,139,suppressed,suppressed,suppressed,suppressed,suppressed,45011,67,6.6,"B,G,C",100,2424,88.8,7.4
147,Westmorland Neighborhood Association,No,342.6,1031,87.4,2207,6.2,22.2,15,91.7,0.5,3.9,2.2,1.7,972,594,28.9,4.6,1093,1,0,1951,2,6,247481,140.52,0,24,8,26,suppressed,suppressed,suppressed,suppressed,suppressed,81435,9,9.5,"P,C",99.3,1397,94.1,7.1
152,High Point Estates,No,145.5,338,68.5,853,6.4,28.8,8.4,71.8,7.4,14,1.9,4.9,325,227,36.9,5.9,309,7,0,1992,0,0,413454,117.54,1,14,7,7,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",42.9,221,N/A,7.1
93,Nobel Park Neighborhood Association,No,63.9,167,82.3,353,6.3,20.7,9.4,72.2,7.4,1.4,5.1,13.9,158,87,22.2,4.4,167,6,0,1955,6,31,131816,110.66,10,17,14,9,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,484,N/A,7.3
181,Monona Bay Neighborhood Association,No,85.4,653,9.5,1138,4.5,14.7,7.5,53.3,9.8,25.5,2.6,8.7,627,162,11.3,3.8,587,438,0,1971,0,9,249961,168.9,16,56,124,40,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G",93.4,2126,N/A,7.8
157,Moorland-Rimrock Neighborhood Association,No,453.3,1100,49.3,2591,9.6,28.5,3.8,49.2,13.8,6.9,4.1,25.9,996,570,34.4,9.7,1116,21,0,1973,7,33,168101,106.97,27,46,107,15,suppressed,suppressed,suppressed,suppressed,suppressed,38690,128,9.7,"P,B",82.7,357,96.2,6.5
158,Park Ridge Neighborhood Association,No,30.3,211,43.1,488,11.6,30.1,2.2,48.3,31.2,1.4,5.3,13.8,201,94,30.2,11.4,210,12,0,1986,2,40,128922,81.94,8,19,49,8,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,221,N/A,6.9
174,Hawk's Landing Neighborhood Association,No,557.5,639,78,1503,5.9,29.7,6.2,85.6,1.8,9.4,1.9,1.2,573,413,36.6,2.1,741,0,0,2004,4,7,520126,129.48,1,15,1,3,suppressed,suppressed,suppressed,suppressed,suppressed,101920,30,1.4,None,0,0,100,7
120,Richmond Hill Homeowners Association,No,63.6,144,89.5,395,4.6,26.3,11.1,85.3,5.3,3.6,1.8,3.9,142,113,39.1,4.2,139,0,0,1997,2,0,340850,111.15,0,5,0,5,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,B,67.6,80,N/A,8
151,Bram's Addition Neighborhood Association,No,105.2,505,21.1,1282,8.4,30.9,8.5,24.4,34.7,12.2,3.8,24.9,481,233,31,13,466,157,0,1965,4,17,113501,93.25,34,79,151,42,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,1577,N/A,6.6
98,Brentwood Village Association,No,103.8,611,37,1128,8.2,20.7,14.9,63.2,20.3,2.4,4.6,9.5,559,257,22.4,12.5,569,27,0,1962,0,41,179752,95.71,23,38,97,16,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",73.4,258,N/A,7.3
350,Marbella Condominium Association,No,20.2,349,24.4,463,4.8,10.1,23,78.8,2.9,14.6,1.3,2.4,292,94,11.1,3.8,318,0,0,1995,1,1,N/A,N/A,0,6,0,5,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G",100,511,N/A,7.6
