"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"58","Highlands","No","422.9","805","83.8","1601","3.6","15.7","18","86.4","1.6","6.7","2.1","3.1","771","459","19.5","3.5","809","1","0","1984","17","504836","160.3","221636.8","163.4","410515.8","153.7","0","9","7","28",86,54,""suppressed"","86",""suppressed"",""suppressed"","89.1",""suppressed"","14.3",11,349,212,"130705","0","0.4","G","61.2","383","97.9","5.6"
"77","Cross Country","No","1066.3","3021","79.8","7291","10.5","26.4","5.2","80.9","3.1","8.9","2.3","4.7","2895","1821","36.9","3.7","3473","68","0","2001","36","296731","143","200603.9","137.1","281326.9","144.6","9","74","37","25",238,106,"90.4","91.8","95.5","1","79.5","2","18.2",17,539,280,""N/A"",""N/A"",""N/A"","P,B,G","36.8","175",""N/A"","6.8"
"8","East Washington","No","383.4","841","55.4","1806","5.8","20.1","9.3","67.7","9.8","3.7","4.2","14.7","809","420","21.4","7.3","935","108","0","1957","19","173872","135.6","76597.1","70.9","167710.1","134.7","18","93","152","121",311,172,"90.5","79.8","72.3","6.9","31.2","10.3","70.6",7,314,189,"43220","83","8.2","P,B,G","56","1526","91.6","5.8"
"50","Nakoma","No","563.4","1443","80","3201","6.9","22","13.6","88.7","4.6","2","1.8","2.9","1359","880","28.4","4.3","1512","1","0","1951","20","427334","203","141200","126.1","434747.5","201.8","3","67","31","34",153,114,"94.3","91.4","86","2.4","84.6","3.2","15.9",7,285,157,"104680","5","2.1","G","86.6","1201","97.4","6"
"79","Blackhawk","No","417.6","1127","56.3","2605","7.3","30.2","5","83.3","1.3","10.2","2.9","2.3","1036","668","39.4","5.4","1194","0","0","2002","5","604958","146.2","303709.6","179.4","646802.6","151.9","2","36","1","15",186,104,""suppressed"","83.5",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",2,88,0,""N/A"",""N/A"",""N/A"","None","0","0",""N/A"","6.8"
"16","Glendale","No","538","993","74.2","2243","6.6","19.8","16.4","79","5.7","2.9","3.3","9.1","947","595","24.6","6.7","996","9","0","1958","33","216202","130.7","110229.8","92.2","225774.6","126.6","17","78","55","44",164,82,"88.9","86.1","60.5","4.6","36.2","6.5","56.8",8,146,6,""N/A"",""N/A"",""N/A"","P,B,G","97.2","670",""N/A"","5.9"
"5","Fair Oaks","No","568.1","2663","55.7","5284","6.2","20","6.2","80.7","9.5","2.5","2.9","4.4","2528","1146","22.4","7.1","3024","210","0","1927","59","289731","215.9","237123.8","241.8","227589.9","191.9","24","172","201","158",650,258,"90.9","82.3","84.9","4.4","65","5.6","38.5",10,423,208,""N/A"",""N/A"",""N/A"","P,B,G","98.5","3196",""N/A"","5.9"
"54","Orchard Ridge","No","744.2","1893","68.7","4184","6.7","22","17.1","75.3","10.5","3.6","3.2","7.3","1791","1155","25.2","6.8","1910","69","0","1963","79","259010","130.1","126105.6","87.9","252460.4","129.7","21","94","137","52",350,119,"89.9","83.3","79.4","7.5","46.3","5.8","54.4",14,579,243,"72875","208","2.2","P,B,G","90.7","1119","88.8","6.3"
"81","Pioneer","No","1179.7","109","79.1","228","9","22.5","5.2","81.2","3.2","7.9","3.4","4.3","91","69","34.1","7.7","1396","0","0","2016","9","336700","182.2","230050","154.4","331459.3","162.7","2","36","7","75",54,33,"89.1","89",""suppressed"",""suppressed"","89.1",""suppressed"","14.9",4,321,257,""N/A"",""N/A"",""N/A"","P,B,G","0","485",""N/A"","8.5"
"47","Hoyt Park","No","472.4","1844","63.3","3551","5","14.8","12.5","85.1","2","6.3","2.8","3.8","1787","845","17.5","3.4","1824","12","47","1951","19","350471","201.7","131859.5","161.7","297810.3","208.5","10","51","25","77",166,110,"93.8",""suppressed"","86.6",""suppressed"","90.7",""suppressed"","13",4,234,254,"72749","61","3.2","P,B,G","90.2","3193","94.5","6.2"
"42","Wingra Park","No","450","2523","27.9","5890","3","9.8","5.1","82.5","2.8","7.6","2.6","4.5","2445","760","12.8","2.3","3214","418","7","1928","50","469189","233.5","249481.4","231.6","294841","205.2","51","221","233","161",563,386,""suppressed"","89.2","88.7","8.2","70.4","6.2","38",8,261,173,"55419","115","4.8","P,B,G","94.6","2665","91","6.5"
"23","Pumpkin Hollow Westchester","No","1265.8","2578","46","5551","7.4","20.3","6.8","66.9","9.1","6","3.4","14.6","2441","1321","23.4","5.9","2843","9","0","1986","43","226484","131.1","88298","98.9","212665.6","127.2","59","261","330","175",675,278,"90.2","84.3","59.4","20.2","27","4.4","71.7",8,247,142,""N/A"",""N/A"",""N/A"","P,B,G","82.2","1313",""N/A"","7"
"14","Cherokee","No","672.1","852","97.5","1462","1.7","9.1","34.8","94.6","1.6","1.3","1.1","1.4","789","435","9.5","1.5","911","0","0","1978","1","334763","120.2","195816.5","122.3","330230.8","116.9","1","9","0","9",225,74,""suppressed"",""suppressed"",""suppressed"",""suppressed"","84.9",""suppressed"","16.5",1,28,12,""N/A"",""N/A"",""N/A"","None","96.7","20",""N/A"","6.8"
"37","Rattman","No","1567.3","602","50.6","1076","5.7","12.8","32.4","83.2","1.4","12","0.8","2.5","548","226","15.7","2","1220","0","0","2014","4","245982","161.4","196302","114","247176.5","150.8","7","37","32","80",356,159,"88.3","79.8",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",2,251,129,""N/A"",""N/A"",""N/A"","B","48.9","261",""N/A"","6.7"
"30","Cottage Grove","No","1158.2","828","70.2","1545","4.1","15.9","17.4","85.6","6.2","1.9","2.2","4.2","799","372","17.9","4.7","829","65","0","1998","6","349150","119.9","157001.2","123.2","279300","113.8","1","18","10","22",110,69,""suppressed"",""suppressed"",""suppressed"",""suppressed"","63.5",""suppressed"","34.5",3,22,13,""N/A"",""N/A"",""N/A"","P,B,G","75.9","115",""N/A"","6"
