geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
500,Dunn's Marsh Neighborhood Association,No,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,892,525,39.6,21.4,1021,353,0,1964,2,59,129700,106,61,130,305,61,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,710,N/A,6.4
129,Sunset Village Neighborhood Association,No,265.8,931,79.2,1842,6.1,17.7,13.0,87.4,2.0,4.4,2.7,3.5,899,470,20.3,3.4,940,4,0,1948,1,15,251452,162,3,26,13,17,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.9,3216,N/A,5.3
125,Blackhawk Homeowners Association,No,300.5,961,51.3,2168,6.6,29.3,5.3,83.4,1.5,10.5,2.6,2.0,880,551,37.4,5.1,1003,0,0,2000,0,1,557001,132,1,14,4,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,5.1,0,N/A,7.6
110,McClellan Park Neighborhood Association,No,550.4,1020,64.5,2227,9.0,22.3,21.1,81.7,6.7,3.9,3.7,4.0,920,518,27.5,5.2,1225,5,0,2005,10,9,234191,117,5,31,20,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",61.2,75,N/A,7.1
90,Bluff Acres Neighborhood Association,No,441.8,1848,38.5,3725,7.2,18.3,7.7,67.6,9.5,6.5,3.5,12.9,1748,876,20.1,5.3,1927,43,0,1981,8,26,174212,98,35,132,172,61,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",97.1,350,N/A,6.6
354,Cardinal Glenn Neighborhood Association,N/A,355.0,83,88.0,162,9.2,22.8,1.7,77.2,3.7,10.5,3.1,5.5,65,50,35.9,6.9,172,0,0,2010,1,0,249057,136,0,3,4,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,0,0,N/A,7.8
98,Brentwood Village Association,No,103.8,611,37.0,1128,8.2,20.7,14.9,63.2,20.3,2.4,4.6,9.5,559,257,22.4,12.5,569,27,0,1962,2,33,179663,96,18,47,121,15,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G",73.7,258,N/A,7.5
153,Burr Oaks Neighborhood Association,No,247.0,768,19.9,1744,9.7,30.4,3.8,20.1,19.1,22.2,4.6,34.0,645,362,35.3,13.4,767,121,0,1962,2,51,137845,88,43,137,225,72,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.5,1910,N/A,6.4
141,Greenbush Neighborhood Association,No,178.9,1148,25.5,2878,2.3,5.6,3.1,88.8,1.3,3.2,2.9,3.9,1116,280,9.0,1.7,1236,3,0,1920,1,71,254838,167,46,115,122,67,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G,C",99.3,2144,N/A,6.5
100,Carpenter-Ridgeway Neighborhood Association,No,641.7,510,42.0,1016,6.4,16.6,7.0,66.4,12.1,3.6,3.6,14.2,481,213,18.9,7.1,506,6,0,1970,1,25,145673,103,13,136,37,44,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",76.2,1578,N/A,6.7
139,Glendale Neighborhood Association,No,536.5,988,74.5,2233,6.6,19.8,16.4,79.1,5.7,2.9,3.3,9.1,942,593,24.7,6.7,975,12,0,1958,3,36,173629,105,20,74,88,42,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",83.5,601,N/A,5.1
150,Nakoma League,No,251.3,708,97.2,1778,6.9,25.6,14.3,93.8,0.8,1.4,1.6,2.5,687,537,36.8,3.7,713,0,0,1938,0,5,434765,183,1,15,4,19,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,G,C",99.3,983,N/A,6.9
