geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,prd_viol,avg_huval,sqft_val,avg_c_hval,sqft_c_val,avg_n_hval,sqft_n_val,crm_pers,crm_prop,crm_scty,crash,prmry_ems,prmry_fire,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,cc_prvdrs,cc_cpcty,cc_enrlmt,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
352,Woodland Hills Neighborhood Association,No,94.5,363,71.1,682,4.8,14.8,11.9,81.8,2.1,7.4,2.6,6.1,351,172,19.2,5.6,370,1,0,1985,3,346411,140.19,171810,136.46,306673.3,140.65,1,4,3,11,31,20,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,5,254,162,N/A,N/A,N/A,None,93.4,352,N/A,6.4
89,Whitetail Ridge,No,62.8,183,94.5,507,7.1,25.4,2.7,76.2,3.9,6.7,2.9,10.2,181,130,34.3,4.4,191,0,0,1995,1,221752,145.2,N/A,N/A,223780,156.4,0,4,2,7,12,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,7,5,N/A,N/A,N/A,None,64.1,246,N/A,7.7
130,Wisconsin Co-op Housing Association,No,74,156,96.5,355,1.9,21.2,16.2,91.9,0.4,2.9,3.3,1.4,152,104,28.3,5,177,0,0,1950,2,281050,167.48,N/A,N/A,246154.5,174.35,0,1,0,2,14,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,90,15,N/A,N/A,N/A,G,100,628,N/A,6
125,Blackhawk Homeowners Association,No,300.5,961,51.3,2168,6.6,29.3,5.3,83.4,1.5,10.5,2.6,2,879,551,37.4,5.1,1305,0,0,2001,2,584898,141.61,352916.9,196.2,652930.4,142.35,1,12,5,11,244,68,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,80,0,N/A,N/A,N/A,None,5.1,0,N/A,7.5
90,Bluff Acres Neighborhood Association,No,441.8,1849,38.5,3725,7.2,18.3,7.7,67.6,9.5,6.5,3.5,12.9,1748,876,20.1,5.3,1931,50,0,1980,27,215666,119.26,90153.2,100.71,207254.8,115.55,20,127,144,94,362,125,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,6,40,13,N/A,N/A,N/A,"B,G",97.3,511,N/A,6.9
151,Bram's Addition Neighborhood Association,No,105.2,505,21.1,1282,8.4,30.9,8.5,24.4,34.7,12.2,3.8,24.9,481,233,31,13,530,141,0,1965,35,139220,110.64,102600,83.96,125564.4,106.77,10,59,102,54,244,127,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,9,483,104,N/A,N/A,N/A,"P,B,G",98.4,1632,N/A,5.8
104,Burke Heights Neighborhood Association,No,237.5,289,35.4,607,7.5,22.6,13.1,67.3,10.6,2.4,8,11.7,268,127,26.1,11.3,343,36,0,1973,17,181303,110.28,88968.8,64.73,172233.3,108.96,6,323,50,24,192,61,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,2,34,0,N/A,N/A,N/A,B,85.1,463,N/A,6.5
167,Country Grove Neighborhood Association,No,130.9,321,96.5,917,6,31.9,5.6,84.7,1.7,6.8,2.2,4.7,319,262,44.8,2.3,313,0,0,1996,0,348312,125.79,203242.9,130.57,311516.7,139.02,0,5,4,4,31,21,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,4,184,207,N/A,N/A,N/A,None,55.6,150,N/A,7.4
362,Crawford-Marlborough-Nakoma Neighborhood Association,No,338.4,996,90.1,2429,6.9,24.5,13.7,89.7,4.3,1.8,1.7,2.5,957,692,33.5,4.5,1065,1,0,1942,10,433598,197.72,128912.5,151.84,433258.1,194.54,5,56,11,42,95,85,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,7,285,64,N/A,N/A,N/A,G,99.5,1265,N/A,6.5
176,Dudgeon-Monroe Neighborhood Association,No,309.3,1257,73.3,3181,4.7,18.5,9.2,90.8,1.6,2.6,2.2,2.7,1203,704,26.7,3.3,1537,0,319,1931,9,411326,239.25,412993.2,284.62,362050,235.11,7,46,14,39,101,132,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,6,112,126,102079,30,0.7,"P,B,G",94.5,1595,94,7.8
500,Dunn's Marsh Neighborhood Association,No,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,891,525,39.6,21.4,1033,208,0,1964,53,164053,136.24,54975,69.82,162871.4,129.81,27,75,164,46,277,130,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,12,481,217,N/A,N/A,N/A,"B,G",99.1,705,N/A,6.3
133,Glen Oak Hills Neighborhood Association,No,137.7,447,78.8,844,5.8,14.9,16.7,87.7,2.7,1.9,2.8,4.8,430,226,18.1,3,446,6,0,1956,3,241617,162.07,109200,142,218570.6,160.02,0,5,6,10,49,30,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,8,174,44,N/A,N/A,N/A,G,100,1910,N/A,5.8
88,High Crossing Neighborhood Association,No,724.6,615,31.1,1020,5.8,14.8,11.9,75.5,12.3,5.9,2,4.3,542,190,15.2,7.3,1001,57,0,2003,0,214283,118.18,146506.4,119.68,284650,176.14,1,44,34,72,167,104,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,8,8,N/A,N/A,N/A,B,48.8,221,N/A,6.8
138,"Hill Farms, University Neighborhood Association",No,486,1426,62,2942,4.7,19,20.5,76.4,1.9,15.4,2.7,3.5,1385,790,22.2,3.3,983,2,0,1960,7,358025,159.26,159325,128.57,354532.8,158.39,4,33,5,22,259,173,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,9,537,194,N/A,N/A,N/A,"P,B,G",98.8,1904,N/A,7.3
